label,claim
barely-true,"In 2009, his first year as mayor, Julin Castro received a seven-figure referral fee that smells like a dirty financial gift from notorious personal injury lawyer Mikal Watts, a major Obama donor."
mostly-true,Says Travis Countys unemployment rate is below the national average while its poverty rate exceeds the national average--and local poverty is rising.
true,Says Oregon ranks 30th in the nation with regard to its incarceration rate.
false,Rep. Robert Hurt voted again today to end Medicare and raise health care costs for Virginia seniors.
half-true,"Says Marco Rubio went on Univision, and in Spanish he promised that he would not on the first day in office rescind President Obamas illegal executive action."
half-true,Says Rick Perrys proposal on driver licenses and high school dropouts has been state law since 1989.
barely-true,Red light camera installed to promote public safety.
pants-fire,"The stimulus bill ""didnt create one new job."""
barely-true,Gonzales losing campaign against me last spring was funded with more than $1 million from supporters and allies of Governor Bruce Rauner.
mostly-true,70 percent of Americans believe that we are on the wrong path.
half-true,"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs."
mostly-true,"Quite frankly, it was during the Bush years of spending, multiplied now by the Obama years that we have this mess."
barely-true,North Carolina spent almost as much as it spends on government rape crisis programs in a year to convene a special session for HB2.
half-true,U.S. Senate candidate Michelle Nunn has avoided taking a stand on Obamacare.
false,"He (Obama) has done several things well. Most of those things are places where he changed his view from where he had during the campaign. So, for instance, he's left our troops in Iraq and they're being more successful there. He boosted our effort in Afghanistan, which is the right course to take. He did not close Guantanamo, thank heavens."
half-true,David Perdue said hed raise taxes.
true,Six justices on the U.S. Supreme Court have been confirmed in presidential election years since 1912.
false,On high-speed rail.
true,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital."
barely-true,Claims Joe Biden said coal is more dangerous than terrorists.
barely-true,"A ""massive"" federal computer network will make your medical records available to ""millions of people"" with a ""complete lack of privacy and confidentiality,"" while doctors and hospitals who don't take part face ""stiff penalties."""
half-true,"During Sherrod Browns past decade as a D.C. politician, more than one out of every four jobs that has left America, left from Ohio. ... Sherrod Brown will own these horrendous Ohio job numbers next year."
false,Says Hillary Clinton wants to raise taxes on African-American owned businesses to as much as nearly 50 percent more than theyre paying now.
true,Twenty-two million jobs were created during Clintons two terms but only 3 million during Bushs.
false,Says new figures he released showing Wisconsin job gains for 2011 are the final job numbers.
pants-fire,"Obama thinks the national anthem should be ""I'd Like to Teach the World to Sing."""
half-true,Houston suffered $1.7 billion in operating losses under Mayor Bill White.
true,The House has never failed to pass a budget in the modern era.
false,"Says that in 41 states, government workers are better paid than the taxpayers who support them."
pants-fire,Congressman McCollum voted to dismantle Social Security.
false,"In the primary election, a right-wing group spent more than $100,000,000 to support Supreme Court Justice Rebecca Bradley."
half-true,"For every dollar we put in unemployment, it pays back about $1.60."
barely-true,The Green Bay Packers are a socialist organization.
true,Owen in MA vs. Owen in RI Advantage:Rhode Island.
half-true,Alabamians havent changed their opinion on same-sex marriage since voting to ban it in 2006.
barely-true,"About 750,000 people die in China each year from auto emissions."
barely-true,"The failed economic policies of President Barack Obama, the Democrats and the Federal Reserve are making gas prices higher while Americas economy is running on fumes."
true,"Says if elected, he would be the first Mayor who lives east of 82nd."
true,Palin (proposed) a $150 bounty for the severed foreleg of each killed wolf.
true,There are actually half a million fewer government employees now than there were when (President Barack) Obama took office.
mostly-true,"This year, the Blackstone Valley Mayoral Academy became the first public school in Rhode Island history to have 100 percent of its elementary-age students proficient in reading on state assessments."
true,One out of 10 minimum-wage workers in the U.S. live in Texas.
pants-fire,"Of every three dollars in food stamps for the needy, seven dollars in salaries and pensions (go to) the bureaucrats who are supposed to be taking care of the poor."
